,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,1476770387,76600,136034,8418,98523,172673,10676,3.78
0,1476754462,226,347,54,235986,471017,16613,3.97
0,0316211281,20,38,3,33778,67608,2266,4.02
0,0316210927,24,58,4,20698,43910,1881,4.08
0,0316097551,48,174,6,21256,39489,1457,4.02
0,1101988843,157,315,18,18981,39224,1653,4.29
0,031655345X,12,21,2,29354,60487,1722,4.08
0,0399593594,314,657,32,15204,34953,1354,3.94
0,0553448129,130231,325480,15436,170958,411887,19989,3.66
0,0399179194,1588,2484,250,37396,74667,3932,3.77
0,1501101749,33,55,11,26838,50565,2433,3.76
0,0316375209,32,54,6,58452,141344,4439,3.88
0,0316464147,18,32,5,20670,48723,2131,4.24
0,039360909X,29742,131223,3876,208023,510969,19452,4.09
0,0062416219,66,117,9,2075010,3408418,79781,3.87
0,1459295366,3,7,1,14881,26277,657,3.8
0,1501129740,64337,167916,6157,87543,204052,8079,4.08
0,0698404173,64,109,22,76389,151462,5600,3.93
0,1476783470,21,46,2,19316,36269,1160,4.25
0,1476717176,13,24,1,11958,21600,741,4.17
0,0316211249,15,35,4,18873,33594,1176,4.11
0,0698148630,52,127,19,46165,81692,3929,3.97
0,0440246318,1032,4954,105,63435,103842,3985,4.02
0,0316128651,875,1247,124,886392,1298626,41385,3.84
0,141659521X,26365,39151,1357,32401,49428,1505,4.35
0,0316206814,26,79,4,21197,41003,1356,3.85
0,0399157867,21748,36787,2214,27426,46595,2587,3.96
0,1439102724,71385,123851,6075,79288,137713,6871,3.78
0,073521736X,18,30,4,17838,33388,1429,4.37
0,1101883960,99,202,16,7893,17786,602,4.2
0,150116340X,47486,169124,5256,62734,207004,7059,3.73
0,0316553476,23,56,5,15924,42110,1318,4.01
0,1250123100,50,77,15,29847,79557,2983,4.11
0,1455585300,131,308,12,12635,28786,843,3.9
0,0316433179,618,1160,77,14615,34097,1317,3.63
0,0425285421,156,334,29,9512,19478,796,3.86
0,0812989074,92,149,29,109903,216456,12669,3.52
0,006242906X,92,165,26,172995,415140,16252,3.99
0,0062294415,21254,44717,3318,33617,69717,4909,4.34
0,110161434X,11,30,2,28762,52470,3278,3.93
0,0345535111,50,102,19,535,2276,94,4.14
0,0316211117,17,38,1,13705,26440,848,3.9
0,0316211060,30,96,10,16867,32329,1810,3.57
0,0316069442,69,110,14,47392,72023,3055,4.13
0,0316199893,39,93,11,32234,57918,2227,3.94
0,0446571857,881,1485,253,128674,229288,12345,3.7
0,1439180962,11194,20021,1082,14076,25520,1345,3.81
0,0517580519,22629,40342,2877,28062,50243,3334,3.32
0,0553908111,114,180,24,40678,73611,2793,4.17
0,0316274046,967,6673,98,24549,71110,1560,3.91
0,1501171690,17,33,6,15396,35099,1581,3.75
0,0316395587,5,7,0,10445,27636,642,4.09
0,1501131125,143,288,23,11874,26168,1189,3.65
0,1455559512,7612,14569,988,14333,40683,1500,3.78
0,0735215898,194,424,27,6114,13162,351,4.12
0,0698407113,18,22,4,16505,32707,1434,4.18
0,1455572071,3,7,0,45,177,2,4.04
0,1476783543,20,38,1,12906,27120,726,4.29
0,0399163859,15718,28780,2760,27756,52154,3418,3.98
0,0062354361,15110,22245,1089,28692,51115,1674,4.3
0,1250123135,418,1602,32,20102,38833,1657,4.41
0,1476789401,14,32,0,9543,20226,647,4.19
0,0062473352,1224,3654,171,26767,55061,3191,3.78
0,031629019X,8,16,2,9735,21281,578,3.98
0,1466872926,20,47,8,26427,52515,2262,3.74
0,1250109310,82,146,28,55752,141035,4751,4.1
0,0316408999,4,16,0,10958,23123,677,3.85
0,0425280101,18176,38566,1577,27568,57285,2196,4.01
0,0316349925,185,233,58,162837,281196,13877,4.21
