,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating,popularity
66,Scribner,Stephen King,1501111671,2016-01-10,THE BAZAAR OF BAD DREAMS,8,5,34412,81341,3735,46332,105041,5004,3.92,True
67,Delacorte,Lee Child,0440246326,2014-04-27,NEVER GO BACK,8,3,669,1408,84,60344,99516,4202,4.05,True
68,Broadway,Max Brooks,0307351939,2013-07-28,WORLD WAR Z,8,3,538,873,132,434603,731701,25440,4.01,True
69,"Little, Brown & Company",James Patterson,0316210692,2013-01-20,"MERRY CHRISTMAS, ALEX CROSS",8,4,74,179,19,22176,47719,1637,3.89,True
70,Random House Publishing,Janet Evanovich,0345527704,2011-12-18,SMOKIN' SEVENTEEN,8,2,19425,40413,637,73967,121201,5171,3.96,True
71,Grand Central,David Baldacci,0446573078,2011-06-26,THE SIXTH MAN,8,3,106,184,11,43874,67494,1943,4.14,True
72,"Little, Brown",Michael Connelly,0316069388,2011-06-12,THE FIFTH WITNESS,8,3,171,279,28,56818,82733,3103,4.19,True
73,"Little, Brown",Michael Connelly,0316225916,2018-01-14,TWO KINDS OF TRUTH,7,4,15,25,3,46620,93543,3449,4.26,True
75,"Little, Brown",Michael Connelly,0316225975,2017-10-15,THE LATE SHOW,7,3,57,98,10,57643,112581,5082,4.05,True
76,"Little, Brown",Michael Connelly,0316225959,2017-01-15,THE WRONG SIDE OF GOODBYE,7,5,24,46,3,55979,92179,4000,4.33,True
77,"Little, Brown",James Patterson,0316407143,2016-01-24,CROSS JUSTICE,7,2,20,38,3,23510,46538,1872,4.23,True
78,Scribner,Stephen King,1476770387,2015-01-11,REVIVAL,7,1,76600,136034,8418,98523,172673,10676,3.78,True
79,Scribner,Stephen King,1476754462,2014-08-03,MR. MERCEDES,7,2,226,347,54,235986,471017,16613,3.97,True
80,"Little, Brown",James Patterson and Maxine Paetro,0316211281,2014-07-06,UNLUCKY 13,7,2,20,38,3,33778,67608,2266,4.02,True
81,"Little, Brown",James Patterson,0316210927,2014-02-02,CROSS MY HEART,7,3,24,58,4,20698,43910,1881,4.08,True
82,"Little, Brown & Company",James Patterson and Marshall Karp,0316097551,2011-10-30,KILL ME IF YOU CAN,7,5,48,174,6,21256,39489,1457,4.02,True
83,Putnam,John Sandford,1101988843,2018-04-22,GOLDEN PREY,6,2,157,315,18,18981,39224,1653,4.29,True
84,"Little, Brown",James Patterson and Maxine Paetro,031655345X,2018-02-18,16TH SEDUCTION,6,2,12,21,2,29354,60487,1722,4.08,True
85,Delacorte,Lee Child,0399593594,2018-02-04,NO MIDDLE NAME,6,3,314,657,32,15204,34953,1354,3.94,True
87,Putnam,Janet Evanovich,0399179194,2018-01-07,HARDCORE TWENTY-FOUR,6,2,1588,2484,250,37396,74667,3932,3.77,True
88,Simon & Schuster,Nelson DeMille,1501101749,2017-11-12,THE CUBAN AFFAIR,6,3,33,55,11,26838,50565,2433,3.76,True
89,"Little, Brown",Elin Hilderbrand,0316375209,2017-08-06,THE IDENTICALS,6,2,32,54,6,58452,141344,4439,3.88,True
90,"Little, Brown",James Patterson and David Ellis,0316464147,2017-05-21,THE BLACK BOOK,6,3,18,32,5,20670,48723,2131,4.24,True
91,Norton,Neil Gaiman,039360909X,2017-04-02,NORSE MYTHOLOGY,6,2,29742,131223,3876,208023,510969,19452,4.09,True
93,Harlequin,Nora Roberts,1459295366,2016-12-11,UNFINISHED BUSINESS,6,2,3,7,1,14881,26277,657,3.8,True
94,Scribner,Stephen King,1501129740,2016-07-31,END OF WATCH,6,3,64337,167916,6157,87543,204052,8079,4.08,True
95,Dutton,Harlan Coben,0698404173,2016-05-15,FOOL ME ONCE,6,3,64,109,22,76389,151462,5600,3.93,True
96,Emily Bestler/Atria,Vince Flynn and Kyle Mills,1476783470,2015-11-29,THE SURVIVOR,6,2,21,46,2,19316,36269,1160,4.25,True
97,Emily Bestler/Atria,Brad Thor,1476717176,2015-08-30,CODE OF CONDUCT,6,3,13,24,1,11958,21600,741,4.17,True
98,"Little, Brown",James Patterson and Marshall Karp,0316211249,2014-05-18,NYPD RED 2,6,3,15,35,4,18873,33594,1176,4.11,True
99,Dutton,Harlan Coben,0698148630,2014-05-11,MISSING YOU,6,2,52,127,19,46165,81692,3929,3.97,True
100,Dell,Lee Child,0440246318,2013-06-23,A WANTED MAN,6,3,1032,4954,105,63435,103842,3985,4.02,True
101,"Little, Brown & Company",Stephenie Meyer,0316128651,2013-04-28,THE HOST,6,2,875,1247,124,886392,1298626,41385,3.84,True
102,Simon & Schuster,Vince Flynn,141659521X,2013-01-06,THE LAST MAN,6,3,26365,39151,1357,32401,49428,1505,4.35,True
103,"Little, Brown & Company",James Patterson and Mark Sullivan,0316206814,2012-04-08,PRIVATE GAMES,6,2,26,79,4,21197,41003,1356,3.85,True
104,Penguin Group,Sue Grafton,0399157867,2012-01-08,V IS FOR VENGEANCE,6,4,21748,36787,2214,27426,46595,2587,3.96,True
105,Simon & Schuster,Jodi Picoult,1439102724,2011-04-24,SING YOU HOME,6,3,71385,123851,6075,79288,137713,6871,3.78,True
106,Putnam,John Sandford,073521736X,2018-06-09,TWISTED PREY,5,2,18,30,4,17838,33388,1429,4.37,True
107,Delacorte,Danielle Steel,1101883960,2018-05-06,THE RIGHT TIME,5,3,99,202,16,7893,17786,602,4.2,True
108,Scribner,Stephen King and Owen King,150116340X,2018-01-07,SLEEPING BEAUTIES,5,2,47486,169124,5256,62734,207004,7059,3.73,True
109,"Little, Brown",James Patterson and Howard Roughan,0316553476,2017-08-13,MURDER GAMES,5,2,23,56,5,15924,42110,1318,4.01,True
110,St. Martin's,Nora Roberts,1250123100,2017-07-16,COME SUNDOWN,5,2,50,77,15,29847,79557,2983,4.11,True
111,"Little, Brown",James Patterson and Michael Ledwidge,1455585300,2017-03-12,BULLSEYE,5,1,131,308,12,12635,28786,843,3.9,True
112,"Little, Brown",James Patterson and Candice Fox,0316433179,2017-03-05,NEVER NEVER,5,2,618,1160,77,14615,34097,1317,3.63,True
113,Delacorte,Danielle Steel,0425285421,2017-02-19,THE APARTMENT,5,2,156,334,29,9512,19478,796,3.86,True
114,Random House,Elizabeth Strout,0812989074,2016-02-28,MY NAME IS LUCY BARTON,5,5,92,149,29,109903,216456,12669,3.52,True
115,Morrow/HarperCollins,Karin Slaughter,006242906X,2016-01-17,PRETTY GIRLS,5,2,92,165,26,172995,415140,16252,3.99,True
116,Harper/HarperCollins,Mitch Albom,0062294415,2016-01-10,THE MAGIC STRINGS OF FRANKIE PRESTO,5,6,21254,44717,3318,33617,69717,4909,4.34,True
117,Marian Wood/Putnam,Sue Grafton,110161434X,2015-10-11,X,5,1,11,30,2,28762,52470,3278,3.93,True
118,Random House Publishing,Debbie Macomber,0345535111,2015-05-24,THE INN AT ROSE HARBOR,5,5,50,102,19,535,2276,94,4.14,True
119,"Little, Brown",James Patterson and Mark Sullivan,0316211117,2014-03-30,PRIVATE L.A.,5,2,17,38,1,13705,26440,848,3.9,True
120,"Little, Brown",James Patterson and David Ellis,0316211060,2013-09-22,MISTRESS,5,1,30,96,10,16867,32329,1810,3.57,True
121,"Little, Brown",Michael Connelly,0316069442,2013-05-05,THE BLACK BOX,5,3,69,110,14,47392,72023,3055,4.13,True
122,"Little, Brown & Company",James Patterson and Marshall Karp,0316199893,2012-11-25,NYPD RED,5,2,39,93,11,32234,57918,2227,3.94,True
123,Grand Central Publishing,Seth Grahame-Smith,0446571857,2012-07-22,ABRAHAM LINCOLN: VAMPIRE HUNTER,5,4,881,1485,253,128674,229288,12345,3.7,True
124,Simon & Schuster,Mary Higgins Clark,1439180962,2011-05-22,I'LL WALK ALONE,5,3,11194,20021,1082,14076,25520,1345,3.81,True
125,Crown,Jean M Auel,0517580519,2011-05-22,THE LAND OF PAINTED CAVES,5,5,22629,40342,2877,28062,50243,3334,3.32,True
126,Random House,Lisa Gardner,0553908111,2011-04-24,LOVE YOU MORE,5,3,114,180,24,40678,73611,2793,4.17,True
127,"Little, Brown",James Patterson and Maxine Paetro,0316274046,2018-06-09,THE 17TH SUSPECT,4,3,967,6673,98,24549,71110,1560,3.91,False
128,Simon & Schuster,Mary Higgins Clark,1501171690,2018-05-13,I'VE GOT MY EYES ON YOU,4,6,17,33,6,15396,35099,1581,3.75,False
129,"Little, Brown",James Patterson and Marshall Karp,0316395587,2018-05-06,RED ALERT,4,2,5,7,0,10445,27636,642,4.09,False
130,Simon & Schuster,Mary Higgins Clark,1501131125,2018-04-22,"ALL BY MYSELF, ALONE",4,4,143,288,23,11874,26168,1189,3.65,False
131,Grand Central,Brad Meltzer,1455559512,2018-04-15,THE ESCAPE ARTIST,4,3,7612,14569,988,14333,40683,1500,3.78,False
132,Putnam,Marc Cameron,0735215898,2018-01-07,TOM CLANCY POWER AND EMPIRE,4,5,194,424,27,6114,13162,351,4.12,False
133,Putnam,John Sandford,0698407113,2017-11-26,DEEP FREEZE,4,2,18,22,4,16505,32707,1434,4.18,False
134,Grand Central,Sandra Brown,1455572071,2017-11-12,SEEING RED,4,2,3,7,0,45,177,2,4.04,False
135,Atria/Emily Bestler,Kyle Mills,1476783543,2017-10-15,ENEMY OF THE STATE,4,4,20,38,1,12906,27120,726,4.29,False
136,Marian Wood/Putnam,Sue Grafton,0399163859,2017-10-01,Y IS FOR YESTERDAY,4,4,15718,28780,2760,27756,52154,3418,3.98,False
137,Harper,Daniel Silva,0062354361,2017-08-20,HOUSE OF SPIES,4,3,15110,22245,1089,28692,51115,1674,4.3,False
138,St. Martin's,J D Robb,1250123135,2017-08-20,ECHOES IN DEATH,4,3,418,1602,32,20102,38833,1657,4.41,False
139,Atria/Emily Bestler,Brad Thor,1476789401,2017-08-06,USE OF FORCE,4,3,14,32,0,9543,20226,647,4.19,False
140,Harper,Michael Crichton,0062473352,2017-07-02,DRAGON TEETH,4,2,1224,3654,171,26767,55061,3191,3.78,False
141,"Little, Brown",James Patterson and Mark Sullivan,031629019X,2016-08-07,THE GAMES,4,2,8,16,2,9735,21281,578,3.98,False
142,St. Martin's,Mary Kay Andrews,1466872926,2016-06-26,THE WEEKENDERS,4,2,20,47,8,26427,52515,2262,3.74,False
143,St. Martin's Griffin,Sylvia Day,1250109310,2016-05-15,ONE WITH YOU,4,3,82,146,28,55752,141035,4751,4.1,False
